NAME,POS,TEAM,RTG,OPP,DEF_RTG,h/a,DK salary,DK points
SALVON AHMED,RB,MIA,69.0,BAL,0.9396551724137794,home,4000,2.5
DERRICK GORE,RB,KC,70.0,LV,-0.4396551724138078,away,4000,1.9
TRENTON CANNON,RB,SF,67.0,LAR,-0.7155172413793167,home,4000,0.0
ANDY JANOVICH,RB,CLE,67.0,NE,-1.5431034482758719,away,4000,0.0
CHRIS STREVELER,QB,BAL,65.0,MIA,1.7672413793103345,home,4000,1.84
JOSHUA KELLEY,RB,LAC,67.0,MIN,1.2155172413793025,home,4000,0.6
PATRICK LAIRD,RB,MIA,66.0,BAL,0.9396551724137794,home,4000,1.2
DARE OGUNBOWALE,RB,JAX,66.0,IND,0.38793103448274735,away,4000,0.0
JJ TAYLOR,RB,NE,71.0,CLE,-1.5431034482758719,home,4000,1.1
DAMAREA CROCKETT,RB,DEN,65.0,PHI,0.6637931034482705,home,4000,0.0
DWAYNE WASHINGTON,RB,NO,65.0,TEN,0.11206896551723844,away,4000,0.8
KE'SHAWN VAUGHN,RB,TB,66.0,WAS,2.0431034482758577,away,4000,0.0
RONALD JONES,RB,TB,70.0,WAS,2.0431034482758577,away,4000,0.0
PATRICK TAYLOR,RB,GB,67.0,SEA,1.2155172413793025,home,4000,0.7
BRIAN HOYER,QB,NE,66.0,CLE,-1.5431034482758719,home,4000,7.2
MARCUS MARIOTA,QB,LV,67.0,KC,1.2155172413793025,home,4000,0.0
WAYNE GALLMAN,RB,ATL,67.0,DAL,0.9396551724137794,away,4000,8.6
KALEN BALLAGE,RB,PIT,67.0,DET,2.8706896551723986,home,4000,0.0
MATT BREIDA,RB,BUF,65.0,NYJ,3.1465517241379217,away,4000,19.0
DEONTE HARRIS,WR,NO,77.0,TEN,0.11206896551723844,away,4000,11.0
GODWIN IGWEBUIKE,RB,DET,67.0,PIT,-0.9913793103448398,away,4000,11.6
JERMAR JEFFERSON,RB,DET,73.0,PIT,-0.9913793103448398,away,4000,10.1
D'ONTA FOREMAN,RB,TEN,69.0,NO,-1.2672413793103487,home,4000,9.8
CHAD HENNE,QB,KC,70.0,LV,-0.4396551724138078,away,4000,-0.2
AMEER ABDULLAH,RB,CAR,68.0,ARI,-3.198275862068968,away,4000,9.1
BUDDY HOWELL,RB,LAR,67.0,SF,-0.16379310344828468,away,4000,0.0
KENE NWANGWU,RB,MIN,67.0,LAC,0.38793103448274735,away,4000,0.0
LARRY ROUNTREE,RB,LAC,66.0,MIN,1.2155172413793025,home,4000,7.0
DAVIS WEBB,QB,BUF,70.0,NYJ,3.1465517241379217,away,4000,-0.3
TEVIN COLEMAN,RB,NYJ,67.0,BUF,-4.853448275862078,home,4000,5.3
JOHNNY STANTON,RB,CLE,67.0,NE,-1.5431034482758719,away,4000,0.0
JARET PATTERSON,RB,WAS,67.0,TB,-0.4396551724138078,home,4000,0.7
TAJAE SHARPE,WR,ATL,70.0,DAL,0.9396551724137794,away,3900,1.0
PAT FREIERMUTH,TE,PIT,84.0,DET,2.8706896551723986,home,3900,7.1
MECOLE HARDMAN,WR,KC,76.0,LV,-0.4396551724138078,away,3900,5.0
AMONRA ST BROWN,WR,DET,73.0,PIT,-0.9913793103448398,away,3800,10.1
RICKY SEALSJONES,TE,WAS,73.0,TB,-0.4396551724138078,home,3700,6.0
JALEN GUYTON,WR,LAC,69.0,MIN,1.2155172413793025,home,3600,0.0
QUEZ WATKINS,WR,PHI,74.0,DEN,-2.370689655172427,away,3600,7.3
CEDRICK WILSON,WR,DAL,75.0,ATL,1.4913793103448114,home,3500,0.0
ADAM HUMPHRIES,WR,WAS,69.0,TB,-0.4396551724138078,home,3500,1.5
JALEN REAGOR,WR,PHI,72.0,DEN,-2.370689655172427,away,3500,1.4
JAMES WASHINGTON,WR,PIT,69.0,DET,2.8706896551723986,home,3500,9.5
DAN ARNOLD,TE,JAX,73.0,IND,0.38793103448274735,away,3500,13.7
MARQUEZ VALDESSCANTLING,WR,GB,72.0,SEA,1.2155172413793025,home,3500,5.1
KJ OSBORN,WR,MIN,77.0,LAC,0.38793103448274735,away,3400,0.0
GABRIEL DAVIS,WR,BUF,70.0,NYJ,3.1465517241379217,away,3400,16.5
BYRON PRINGLE,WR,KC,69.0,LV,-0.4396551724138078,away,3400,14.6
DEVIN DUVERNAY,WR,BAL,72.0,MIA,1.7672413793103345,away,3400,8.7
TYLER CONKLIN,TE,MIN,83.0,LAC,0.38793103448274735,away,3400,16.1
MALIK TURNER,WR,DAL,70.0,ATL,1.4913793103448114,home,3400,1.7
ALBERT OKWUEGBUNAM,TE,DEN,76.0,PHI,0.6637931034482705,home,3300,10.7
RASHARD HIGGINS,WR,CLE,69.0,NE,-1.5431034482758719,away,3300,0.0
KENNY STILLS,WR,NO,69.0,TEN,0.11206896551723844,away,3300,0.0
TYLER JOHNSON,WR,TB,70.0,WAS,2.0431034482758577,away,3300,4.7
TERRACE MARSHALL,WR,CAR,69.0,ARI,-3.198275862068968,away,3200,2.0
DAVID NJOKU,TE,CLE,81.0,NE,-1.5431034482758719,away,3200,2.1
GREG WARD,WR,PHI,67.0,DEN,-2.370689655172427,away,3200,0.0
KEELAN COLE,WR,NYJ,72.0,BUF,-4.853448275862078,home,3200,2.8
NICK WESTBROOK,WR,TEN,69.0,NO,-1.2672413793103487,home,3200,2.0
JARED COOK,TE,LAC,73.0,MIN,1.2155172413793025,home,3200,2.0
MO ALIECOX,TE,IND,78.0,JAX,1.4913793103448114,home,3100,1.6
JACK DOYLE,TE,IND,73.0,JAX,1.4913793103448114,home,3100,6.1
KENDALL HINTON,WR,DEN,70.0,PHI,0.6637931034482705,home,3100,0.0
DEMARCUS ROBINSON,WR,KC,69.0,LV,-0.4396551724138078,away,3100,5.3
ZAY JONES,WR,LV,69.0,KC,1.2155172413793025,home,3100,3.2
MACK HOLLINS,WR,MIA,69.0,BAL,0.9396551724137794,home,3100,0.0
DYAMI BROWN,WR,WAS,68.0,TB,-0.4396551724138078,home,3100,0.0
CHESTER ROGERS,WR,TEN,69.0,NO,-1.2672413793103487,home,3100,1.9
DAX MILNE,WR,WAS,66.0,TB,-0.4396551724138078,home,3000,3.2
DEZ FITZPATRICK,WR,TEN,65.0,NO,-1.2672413793103487,home,3000,1.0
JAUAN JENNINGS,WR,SF,67.0,LAR,-0.7155172413793167,home,3000,1.3
BEN SKOWRONEK,WR,LAR,66.0,SF,-0.16379310344828468,away,3000,1.8
FRANK DARBY,WR,ATL,65.0,DAL,0.9396551724137794,away,3000,2.4
ASHTON DULIN,WR,IND,67.0,JAX,1.4913793103448114,home,3000,2.6
MARCUS KEMP,WR,KC,65.0,LV,-0.4396551724138078,away,3000,2.6
ADAM TRAUTMAN,TE,NO,72.0,TEN,0.11206896551723844,away,3000,8.2
LAQUON TREADWELL,WR,JAX,65.0,IND,0.38793103448274735,away,3000,2.8
NOAH BROWN,WR,DAL,68.0,ATL,1.4913793103448114,home,3000,2.8
CAM SIMS,WR,WAS,67.0,TB,-0.4396551724138078,home,3000,3.0
MALIK TAYLOR,WR,GB,65.0,SEA,1.2155172413793025,home,3000,0.0
TY MONTGOMERY,WR,NO,67.0,TEN,0.11206896551723844,away,3000,0.2
PENNY HART,WR,SEA,65.0,GB,-1.5431034482758719,away,3000,0.0
N'KEAL HARRY,WR,NE,65.0,CLE,-1.5431034482758719,home,3000,3.6
TRINITY BENSON,WR,DET,67.0,PIT,-0.9913793103448398,away,3000,3.7
BRANDON ZYLSTRA,WR,CAR,65.0,ARI,-3.198275862068968,away,3000,3.8
JAELON DARDEN,WR,TB,67.0,WAS,2.0431034482758577,away,3000,3.9
BRAXTON BERRIOS,WR,NYJ,72.0,BUF,-4.853448275862078,home,3000,4.9
MARCUS JOHNSON,WR,TEN,65.0,NO,-1.2672413793103487,home,3000,18.0
RAYRAY MCCLOUD,WR,PIT,67.0,DET,2.8706896551723986,home,3000,15.3
JOSH PALMER,WR,LAC,65.0,MIN,1.2155172413793025,home,3000,5.2
DEANDRE CARTER,WR,WAS,71.0,TB,-0.4396551724138078,home,3000,15.0
ALBERT WILSON,WR,MIA,65.0,BAL,0.9396551724137794,home,3000,14.6
ISAIAH FORD,WR,MIA,65.0,BAL,0.9396551724137794,home,3000,12.4
ISAIAH MCKENZIE,WR,BUF,66.0,NYJ,3.1465517241379217,away,3000,9.9
D'WAYNE ESKRIDGE,WR,SEA,65.0,GB,-1.5431034482758719,away,3000,0.6
ANTHONY SCHWARTZ,WR,CLE,68.0,NE,-1.5431034482758719,away,3000,0.0
TYRIE CLEVELAND,WR,DEN,65.0,PHI,0.6637931034482705,home,3000,0.0
TRAVIS BENJAMIN,WR,SF,65.0,LAR,-0.7155172413793167,home,3000,0.0
FREDDIE SWAIN,WR,SEA,72.0,GB,-1.5431034482758719,away,3000,0.0
MILES BOYKIN,WR,BAL,65.0,MIA,1.7672413793103345,away,3000,0.0
KHADAREL HODGE,WR,DET,67.0,PIT,-0.9913793103448398,away,3000,0.0
CHRISTIAN BLAKE,WR,ATL,65.0,DAL,0.9396551724137794,away,3000,0.0
DEZMON PATMON,WR,IND,67.0,JAX,1.4913793103448114,home,3000,0.0
ALEX ERICKSON,WR,CAR,66.0,ARI,-3.198275862068968,away,3000,0.0
JEFF SMITH,WR,NYJ,69.0,BUF,-4.853448275862078,home,3000,0.0
JOSH GORDON,WR,KC,65.0,LV,-0.4396551724138078,away,3000,0.0
MATTHEW SLATER,WR,NE,65.0,CLE,-1.5431034482758719,home,3000,0.0
STEVEN SIMS,WR,PIT,65.0,DET,2.8706896551723986,home,3000,0.0
JJ KOSKI,WR,LAR,65.0,SF,-0.16379310344828468,away,3000,0.0
GERONIMO ALLISON,WR,DET,65.0,PIT,-0.9913793103448398,away,3000,0.0
JJ ARCEGAWHITESIDE,WR,PHI,65.0,DEN,-2.370689655172427,away,3000,0.0
DIONTAE SPENCER,WR,DEN,65.0,PHI,0.6637931034482705,home,3000,0.0
JOJO NATSON,WR,CLE,65.0,NE,-1.5431034482758719,away,3000,0.0
TAVON AUSTIN,WR,JAX,65.0,IND,0.38793103448274735,away,3000,0.0
ANTOINE WESLEY,WR,ARI,65.0,CAR,-2.922413793103459,home,3000,0.0
AMARI RODGERS,WR,GB,66.0,SEA,1.2155172413793025,home,3000,0.0
DEDE WESTBROOK,WR,MIN,65.0,LAC,0.38793103448274735,away,3000,0.0
CODY WHITE,WR,PIT,66.0,DET,2.8706896551723986,home,3000,0.0
KEVIN WHITE,WR,NO,65.0,TEN,0.11206896551723844,away,3000,0.0
TYLAN WALLACE,WR,BAL,65.0,MIA,1.7672413793103345,away,3000,0.0
GREG DORTCH,WR,ARI,65.0,CAR,-2.922413793103459,home,3000,0.0
TRENT SHERFIELD,WR,SF,67.0,LAR,-0.7155172413793167,home,3000,0.0
PRESTON WILLIAMS,WR,MIA,70.0,BAL,0.9396551724137794,home,3000,0.0
ANDRE ROBERTS,WR,LAC,65.0,MIN,1.2155172413793025,home,3000,0.0
ERIC EBRON,TE,PIT,65.0,DET,2.8706896551723986,home,2900,3.3
AUSTIN HOOPER,TE,CLE,75.0,NE,-1.5431034482758719,away,2800,12.5
HAYDEN HURST,TE,ATL,75.0,DAL,0.9396551724137794,away,2800,0.0
CAMERON BRATE,TE,TB,65.0,WAS,2.0431034482758577,away,2700,7.6
FOSTER MOREAU,TE,LV,65.0,KC,1.2155172413793025,home,2700,0.0
OJ HOWARD,TE,TB,73.0,WAS,2.0431034482758577,away,2700,0.0
ANTHONY FIRKSER,TE,TEN,65.0,NO,-1.2672413793103487,home,2600,1.2
GERALD EVERETT,TE,SEA,76.0,GB,-1.5431034482758719,away,2600,14.3
DONALD PARHAM,TE,LAC,75.0,MIN,1.2155172413793025,home,2600,2.7
TOMMY SWEENEY,TE,BUF,70.0,NYJ,3.1465517241379217,away,2600,0.0
STEPHEN ANDERSON,TE,LAC,65.0,MIN,1.2155172413793025,home,2500,0.0
JOHN BATES,TE,WAS,65.0,TB,-0.4396551724138078,home,2500,5.5
MATT LACOSSE,TE,NE,65.0,CLE,-1.5431034482758719,home,2500,0.0
DEVIN ASIASI,TE,NE,65.0,CLE,-1.5431034482758719,home,2500,0.0
ERIC SAUBERT,TE,DEN,67.0,PHI,0.6637931034482705,home,2500,0.0
ZACH GENTRY,TE,PIT,68.0,DET,2.8706896551723986,home,2500,0.0
DARRELL DANIELS,TE,ARI,65.0,CAR,-2.922413793103459,home,2500,0.0
CHARLIE WOERNER,TE,SF,67.0,LAR,-0.7155172413793167,home,2500,0.0
LUKE STOCKER,TE,MIN,65.0,LAC,0.38793103448274735,away,2500,0.0
COLBY PARKINSON,TE,SEA,65.0,GB,-1.5431034482758719,away,2500,0.0
ERIC TOMLINSON,TE,BAL,65.0,MIA,1.7672413793103345,away,2500,0.0
LUKE FARRELL,TE,JAX,67.0,IND,0.38793103448274735,away,2500,0.0
TREVON WESCO,TE,NYJ,66.0,BUF,-4.853448275862078,home,2500,0.0
ROSS DWELLEY,TE,SF,69.0,LAR,-0.7155172413793167,home,2500,0.0
JUWAN JOHNSON,TE,NO,74.0,TEN,0.11206896551723844,away,2500,5.6
ADAM SHAHEEN,TE,MIA,65.0,BAL,0.9396551724137794,home,2500,6.4
GEOFF SWAIM,TE,TEN,65.0,NO,-1.2672413793103487,home,2500,6.6
NOAH GRAY,TE,KC,65.0,LV,-0.4396551724138078,away,2500,7.1
MYCOLE PRUITT,TE,TEN,65.0,NO,-1.2672413793103487,home,2500,7.2
DEMETRIUS HARRIS,TE,ARI,65.0,CAR,-2.922413793103459,home,2500,0.0
RYAN GRIFFIN,TE,NYJ,65.0,BUF,-4.853448275862078,home,2500,3.1
IAN THOMAS,TE,CAR,71.0,ARI,-3.198275862068968,away,2500,0.0
BROCK WRIGHT,TE,DET,65.0,PIT,-0.9913793103448398,away,2500,1.2
JOSIAH DEGUARA,TE,GB,67.0,SEA,1.2155172413793025,home,2500,2.9
JACK STOLL,TE,PHI,65.0,DEN,-2.370689655172427,away,2500,2.6
KYLEN GRANSON,TE,IND,67.0,JAX,1.4913793103448114,home,2500,2.5
DURHAM SMYTHE,TE,MIA,72.0,BAL,0.9396551724137794,home,2500,3.3
CHRIS HERNDON,TE,MIN,65.0,LAC,0.38793103448274735,away,2500,2.4
SEAN MCKEON,TE,DAL,65.0,ATL,1.4913793103448114,home,2500,3.5
TYLER DAVIS,TE,GB,65.0,SEA,1.2155172413793025,home,2500,1.4
TOMMY TREMBLE,TE,CAR,72.0,ARI,-3.198275862068968,away,2500,1.3
HARRISON BRYANT,TE,CLE,70.0,NE,-1.5431034482758719,away,2500,3.8
MARCEDES LEWIS,TE,GB,65.0,SEA,1.2155172413793025,home,2500,3.0
KENDALL BLANTON,TE,LAR,65.0,SF,-0.16379310344828468,away,2500,1.2
BLAKE BELL,TE,KC,67.0,LV,-0.4396551724138078,away,2500,0.3
JEREMY SPRINKLE,TE,DAL,65.0,ATL,1.4913793103448114,home,2500,0.0
TRE' MCKITTY,TE,LAC,65.0,MIN,1.2155172413793025,home,2500,0.0
GARRETT GRIFFIN,TE,NO,65.0,TEN,0.11206896551723844,away,2500,0.0
CHRIS MANHERTZ,TE,JAX,68.0,IND,0.38793103448274735,away,2500,0.0
DARREN FELLS,TE,TB,65.0,WAS,2.0431034482758577,away,2500,0.0
ANDREW BECK,TE,DEN,65.0,PHI,0.6637931034482705,home,2500,0.0
JOSH OLIVER,TE,BAL,68.0,MIA,1.7672413793103345,away,2500,0.0
WILL DISSLY,TE,SEA,72.0,GB,-1.5431034482758719,away,2500,4.2
JAMES WINCHESTER,TE,KC,65.0,LV,-0.4396551724138078,away,2500,0.0
CETHAN CARTER,TE,MIA,65.0,BAL,0.9396551724137794,home,2500,0.0
